id,question_id,output_score,rag_relevancy_score,hallucination_rate,system_prompt_alignment_score,reasoning,evaluation_metadata,created_at,updated_at,test_score,test_score_reason
5,5,0.72,0.77,0.42,0.67,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.96,
28,28,0.83,0.88,0.25,0.81,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.75,
29,29,0.85,0.90,0.37,0.83,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.68,
30,30,0.90,0.95,0.37,0.88,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.79,
31,31,0.87,0.92,0.37,0.85,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.79,
32,32,0.90,0.95,0.25,0.88,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.97,
33,33,0.85,0.90,0.34,0.83,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.92,
34,34,0.89,0.94,0.40,0.87,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.96,
35,35,0.91,0.96,0.34,0.89,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.98,
36,36,0.80,0.85,0.34,0.78,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.84,
37,37,0.81,0.86,0.29,0.79,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.88,
38,38,0.80,0.85,0.35,0.78,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.96,
39,39,0.75,0.80,0.35,0.73,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.93,
40,40,0.94,0.99,0.39,0.92,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.67,
41,41,0.83,0.88,0.38,0.81,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.69,
42,42,0.83,0.88,0.29,0.81,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.70,
43,43,0.91,0.96,0.28,0.89,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.64,
44,44,0.88,0.93,0.30,0.86,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.91,
45,45,0.88,0.93,0.37,0.86,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.91,
46,46,0.84,0.89,0.33,0.82,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.97,
47,47,0.79,0.84,0.36,0.77,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.78,
48,48,0.77,0.82,0.33,0.75,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.63,
49,49,0.95,1.00,0.34,0.93,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.93,
50,50,0.85,0.90,0.26,0.83,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.78,
51,51,0.97,0.94,0.36,0.87,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.70,
52,52,0.89,0.93,0.35,0.89,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.77,
53,53,0.93,0.94,0.37,0.94,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.81,
65,65,0.89,0.85,0.36,0.73,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.61,
66,66,0.85,0.91,0.29,0.85,UserStory Creation v2: Improved with better benefit clauses and more complete RAG retrieval.,,2025-11-07 13:49:10.09783,2025-11-07 13:49:10.09783,0.84,
67,67,0.82,0.90,0.40,0.89,UserStory Creation v2: Improved with better benefit clauses and more complete RAG retrieval.,,2025-11-07 13:49:10.09783,2025-11-07 13:49:10.09783,0.93,
68,68,0.86,0.93,0.29,0.85,UserStory Creation v2: Improved with better benefit clauses and more complete RAG retrieval.,,2025-11-07 13:49:10.09783,2025-11-07 13:49:10.09783,0.72,
69,69,0.93,0.93,0.38,0.86,UserStory Creation v2: Improved with better benefit clauses and more complete RAG retrieval.,,2025-11-07 13:49:10.09783,2025-11-07 13:49:10.09783,0.76,
70,70,0.86,0.89,0.29,0.92,UserStory Creation v2: Improved with better benefit clauses and more complete RAG retrieval.,,2025-11-07 13:49:10.09783,2025-11-07 13:49:10.09783,0.84,
71,71,0.85,0.87,0.48,0.90,Update flow showing good understanding of existing context and modification requirements.,,2025-11-07 13:49:48.342584,2025-11-07 13:49:48.342584,0.73,
72,72,0.84,0.92,0.47,0.82,Update flow showing good understanding of existing context and modification requirements.,,2025-11-07 13:49:48.342584,2025-11-07 13:49:48.342584,0.62,
73,73,0.93,0.87,0.32,0.78,Update flow showing good understanding of existing context and modification requirements.,,2025-11-07 13:49:48.342584,2025-11-07 13:49:48.342584,0.95,
74,74,0.92,0.85,0.46,0.85,Update flow showing good understanding of existing context and modification requirements.,,2025-11-07 13:49:48.342584,2025-11-07 13:49:48.342584,0.89,
75,75,0.93,0.97,0.34,0.96,Information retrieval excellent with high RAG relevancy and accurate source citations.,,2025-11-07 13:49:48.344367,2025-11-07 13:49:48.344367,0.93,
76,76,0.87,0.94,0.33,0.91,Information retrieval excellent with high RAG relevancy and accurate source citations.,,2025-11-07 13:49:48.344367,2025-11-07 13:49:48.344367,0.70,
77,77,0.88,0.94,0.33,0.94,Information retrieval excellent with high RAG relevancy and accurate source citations.,,2025-11-07 13:49:48.344367,2025-11-07 13:49:48.344367,0.81,
78,78,0.88,0.98,0.24,0.93,Information retrieval excellent with high RAG relevancy and accurate source citations.,,2025-11-07 13:49:48.344367,2025-11-07 13:49:48.344367,0.91,
79,79,0.93,0.94,0.24,0.85,Information retrieval excellent with high RAG relevancy and accurate source citations.,,2025-11-07 13:49:48.344367,2025-11-07 13:49:48.344367,0.87,
80,80,0.92,0.90,0.30,0.92,Search flow performs well with accurate result counts and relevant story retrieval.,,2025-11-07 13:50:07.298577,2025-11-07 13:50:07.298577,0.64,
81,81,0.96,0.92,0.37,0.89,Search flow performs well with accurate result counts and relevant story retrieval.,,2025-11-07 13:50:07.298577,2025-11-07 13:50:07.298577,0.91,
82,82,0.89,0.92,0.32,0.92,Search flow performs well with accurate result counts and relevant story retrieval.,,2025-11-07 13:50:07.298577,2025-11-07 13:50:07.298577,0.85,
83,83,0.94,0.93,0.40,0.82,Search flow performs well with accurate result counts and relevant story retrieval.,,2025-11-07 13:50:07.298577,2025-11-07 13:50:07.298577,0.86,
84,84,0.84,0.91,0.27,0.82,Search flow performs well with accurate result counts and relevant story retrieval.,,2025-11-07 13:50:07.298577,2025-11-07 13:50:07.298577,0.88,
85,85,0.87,0.94,0.33,0.85,Search flow performs well with accurate result counts and relevant story retrieval.,,2025-11-07 13:50:07.298577,2025-11-07 13:50:07.298577,0.67,
1,1,0.75,0.85,0.42,0.70,Good output but missing benefit clause. RAG retrieved correct policy. Some hallucination in formatting.,,2025-11-07 12:49:57.85803,2025-11-07 12:49:57.85803,0.79,
2,2,0.80,0.88,0.35,0.75,"Found most stories, missed one. Good retrieval relevance.",,2025-11-07 12:49:57.85803,2025-11-07 12:49:57.85803,0.87,
3,3,0.88,0.90,0.30,0.85,Excellent output with complete benefit clause. Perfect RAG retrieval. Low hallucination.,,2025-11-07 12:49:57.859139,2025-11-07 12:49:57.859139,0.61,
4,4,0.85,0.92,0.32,0.80,Perfect retrieval of all stories. Excellent RAG relevance.,,2025-11-07 12:49:57.859139,2025-11-07 12:49:57.859139,0.76,
6,6,0.74,0.79,0.34,0.69,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.63,
7,7,0.76,0.81,0.34,0.71,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.71,
8,8,0.86,0.91,0.39,0.81,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.74,
9,9,0.77,0.82,0.42,0.72,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.98,
10,10,0.77,0.82,0.43,0.72,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.91,
11,11,0.73,0.78,0.39,0.68,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.63,
12,12,0.72,0.77,0.43,0.67,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.95,
13,13,0.88,0.93,0.32,0.83,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.75,
14,14,0.73,0.78,0.36,0.68,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.77,
15,15,0.82,0.87,0.37,0.77,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.97,
16,16,0.79,0.84,0.45,0.74,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.71,
17,17,0.73,0.78,0.42,0.68,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.67,
18,18,0.78,0.83,0.43,0.73,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.64,
19,19,0.71,0.76,0.39,0.66,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.83,
20,20,0.76,0.81,0.36,0.71,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.88,
21,21,0.80,0.85,0.38,0.75,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.61,
22,22,0.85,0.90,0.42,0.80,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.93,
23,23,0.81,0.86,0.44,0.76,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.78,
24,24,0.81,0.86,0.33,0.76,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.64,
25,25,0.88,0.93,0.42,0.83,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.62,
26,26,0.73,0.78,0.44,0.68,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.86,
27,27,0.87,0.92,0.40,0.82,,,2025-11-07 12:49:57.85958,2025-11-07 12:49:57.85958,0.99,
54,54,0.94,0.94,0.37,0.87,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.66,
55,55,0.96,0.93,0.26,0.86,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.63,
56,56,0.97,0.95,0.34,0.91,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.84,
57,57,0.94,0.98,0.33,0.95,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.61,
58,58,0.90,0.92,0.40,0.87,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.94,
59,59,0.98,0.94,0.32,0.88,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.93,
60,60,0.97,0.93,0.35,0.89,GPT-4 Turbo shows improved output quality with better context understanding. Lower hallucination rate compared to GPT-4.,,2025-11-07 13:48:43.038675,2025-11-07 13:48:43.038675,0.91,
61,61,0.80,0.83,0.42,0.81,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.89,
62,62,0.76,0.83,0.39,0.83,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.94,
63,63,0.77,0.83,0.38,0.80,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.80,
64,64,0.86,0.90,0.36,0.81,UserStory Creation v1: Good baseline performance with structured output.,,2025-11-07 13:49:10.096212,2025-11-07 13:49:10.096212,0.99,
